1120
# Paramgroup(pg={'basic': {'substrate:max': [2, 4, 6, 8], 'general:output_frequency': [1000000], 'general:runtime': [20], 'species2:adsorbable': [True, False], 'general:init_f': [0.01, 0.16666666666666663, 0.3233333333333333, 0.48, 0.6366666666666666, 0.7933333333333333, 0.95], 'species2:mu': [22.05]}, 'cost': {'species2:mu': [19.6, 21.233333333333334, 22.866666666666664, 24.5], 'general:output_frequency': [1000000], 'general:runtime': [20], 'species2:adsorbable': [True, False], 'general:init_f': [0.01, 0.16666666666666663, 0.3233333333333333, 0.48, 0.6366666666666666, 0.7933333333333333, 0.95], 'substrate:max': [6]}}, rep={'basic': 10, 'cost': 10})
general:run,general:group,general:set,general:init_f,general:output_frequency,general:runtime,species2:adsorbable,species2:mu,substrate:max,general:seed
190,basic,22,0.3233333333333333,1000000,20,False,22.05,4,2381353
191,basic,23,0.3233333333333333,1000000,20,False,22.05,6,94684615
192,basic,24,0.3233333333333333,1000000,20,False,22.05,8,6467515
193,basic,25,0.48,1000000,20,True,22.05,2,51090123
194,basic,26,0.48,1000000,20,True,22.05,4,27762650
195,basic,27,0.48,1000000,20,True,22.05,6,61817605
196,basic,28,0.48,1000000,20,True,22.05,8,7742078
197,basic,29,0.48,1000000,20,False,22.05,2,45720853
198,basic,30,0.48,1000000,20,False,22.05,4,36903481
199,basic,31,0.48,1000000,20,False,22.05,6,24375413
200,basic,32,0.48,1000000,20,False,22.05,8,74943774
201,basic,33,0.6366666666666666,1000000,20,True,22.05,2,8276669
202,basic,34,0.6366666666666666,1000000,20,True,22.05,4,98934424
203,basic,35,0.6366666666666666,1000000,20,True,22.05,6,46622577
204,basic,36,0.6366666666666666,1000000,20,True,22.05,8,90381383
205,basic,37,0.6366666666666666,1000000,20,False,22.05,2,37749005
206,basic,38,0.6366666666666666,1000000,20,False,22.05,4,74402852
207,basic,39,0.6366666666666666,1000000,20,False,22.05,6,63654540
208,basic,40,0.6366666666666666,1000000,20,False,22.05,8,30827164
209,basic,41,0.7933333333333333,1000000,20,True,22.05,2,21482237
210,basic,42,0.7933333333333333,1000000,20,True,22.05,4,99262202
211,basic,43,0.7933333333333333,1000000,20,True,22.05,6,89329051
212,basic,44,0.7933333333333333,1000000,20,True,22.05,8,41600244
213,basic,45,0.7933333333333333,1000000,20,False,22.05,2,57965473
214,basic,46,0.7933333333333333,1000000,20,False,22.05,4,85515237
215,basic,47,0.7933333333333333,1000000,20,False,22.05,6,70015745
216,basic,48,0.7933333333333333,1000000,20,False,22.05,8,96638853
217,basic,49,0.95,1000000,20,True,22.05,2,419704
218,basic,50,0.95,1000000,20,True,22.05,4,19747170
219,basic,51,0.95,1000000,20,True,22.05,6,79138633
220,basic,52,0.95,1000000,20,True,22.05,8,97878196
221,basic,53,0.95,1000000,20,False,22.05,2,8858535
222,basic,54,0.95,1000000,20,False,22.05,4,62617876
223,basic,55,0.95,1000000,20,False,22.05,6,88046052
224,basic,56,0.95,1000000,20,False,22.05,8,22853779
225,basic,1,0.01,1000000,20,True,22.05,2,46988254
226,basic,2,0.01,1000000,20,True,22.05,4,39922241
227,basic,3,0.01,1000000,20,True,22.05,6,65060088
228,basic,4,0.01,1000000,20,True,22.05,8,4020259
229,basic,5,0.01,1000000,20,False,22.05,2,80498536
230,basic,6,0.01,1000000,20,False,22.05,4,19512238
231,basic,7,0.01,1000000,20,False,22.05,6,55852524
232,basic,8,0.01,1000000,20,False,22.05,8,88317339
233,basic,9,0.16666666666666663,1000000,20,True,22.05,2,96760905
234,basic,10,0.16666666666666663,1000000,20,True,22.05,4,45186887
235,basic,11,0.16666666666666663,1000000,20,True,22.05,6,47323290
236,basic,12,0.16666666666666663,1000000,20,True,22.05,8,82410858
237,basic,13,0.16666666666666663,1000000,20,False,22.05,2,78391877
238,basic,14,0.16666666666666663,1000000,20,False,22.05,4,59143131
239,basic,15,0.16666666666666663,1000000,20,False,22.05,6,9335628
240,basic,16,0.16666666666666663,1000000,20,False,22.05,8,90254239
241,basic,17,0.3233333333333333,1000000,20,True,22.05,2,76964394
242,basic,18,0.3233333333333333,1000000,20,True,22.05,4,10946611
243,basic,19,0.3233333333333333,1000000,20,True,22.05,6,22908193
244,basic,20,0.3233333333333333,1000000,20,True,22.05,8,27322090
245,basic,21,0.3233333333333333,1000000,20,False,22.05,2,86657006
246,basic,22,0.3233333333333333,1000000,20,False,22.05,4,14877715
247,basic,23,0.3233333333333333,1000000,20,False,22.05,6,40934566
248,basic,24,0.3233333333333333,1000000,20,False,22.05,8,45181715
249,basic,25,0.48,1000000,20,True,22.05,2,20892161
250,basic,26,0.48,1000000,20,True,22.05,4,47846714
251,basic,27,0.48,1000000,20,True,22.05,6,23177598
252,basic,28,0.48,1000000,20,True,22.05,8,95064700
253,basic,29,0.48,1000000,20,False,22.05,2,48112830
254,basic,30,0.48,1000000,20,False,22.05,4,70139187
255,basic,31,0.48,1000000,20,False,22.05,6,99695667
256,basic,32,0.48,1000000,20,False,22.05,8,62744084
257,basic,33,0.6366666666666666,1000000,20,True,22.05,2,92502843
258,basic,34,0.6366666666666666,1000000,20,True,22.05,4,70310747
259,basic,35,0.6366666666666666,1000000,20,True,22.05,6,14108119
260,basic,36,0.6366666666666666,1000000,20,True,22.05,8,41808502
261,basic,37,0.6366666666666666,1000000,20,False,22.05,2,11597908
262,basic,38,0.6366666666666666,1000000,20,False,22.05,4,80901430
263,basic,39,0.6366666666666666,1000000,20,False,22.05,6,11407945
264,basic,40,0.6366666666666666,1000000,20,False,22.05,8,40779014
265,basic,41,0.7933333333333333,1000000,20,True,22.05,2,50848984
266,basic,42,0.7933333333333333,1000000,20,True,22.05,4,94386542
267,basic,43,0.7933333333333333,1000000,20,True,22.05,6,16092029
268,basic,44,0.7933333333333333,1000000,20,True,22.05,8,33554815
269,basic,45,0.7933333333333333,1000000,20,False,22.05,2,5860945
270,basic,46,0.7933333333333333,1000000,20,False,22.05,4,28062806
271,basic,47,0.7933333333333333,1000000,20,False,22.05,6,15094553
272,basic,48,0.7933333333333333,1000000,20,False,22.05,8,16341146
273,basic,49,0.95,1000000,20,True,22.05,2,22152298
274,basic,50,0.95,1000000,20,True,22.05,4,98442959
275,basic,51,0.95,1000000,20,True,22.05,6,10884337
276,basic,52,0.95,1000000,20,True,22.05,8,39846634
277,basic,53,0.95,1000000,20,False,22.05,2,31518850
278,basic,54,0.95,1000000,20,False,22.05,4,68973325
279,basic,55,0.95,1000000,20,False,22.05,6,19492647
280,basic,56,0.95,1000000,20,False,22.05,8,3655534
281,basic,1,0.01,1000000,20,True,22.05,2,68338990
282,basic,2,0.01,1000000,20,True,22.05,4,55292319
283,basic,3,0.01,1000000,20,True,22.05,6,47412414
284,basic,4,0.01,1000000,20,True,22.05,8,38120871
285,basic,5,0.01,1000000,20,False,22.05,2,98733491
286,basic,6,0.01,1000000,20,False,22.05,4,3792827
287,basic,7,0.01,1000000,20,False,22.05,6,39211272
288,basic,8,0.01,1000000,20,False,22.05,8,74041784
289,basic,9,0.16666666666666663,1000000,20,True,22.05,2,88919354
290,basic,10,0.16666666666666663,1000000,20,True,22.05,4,3685419
291,basic,11,0.16666666666666663,1000000,20,True,22.05,6,39710288
292,basic,12,0.16666666666666663,1000000,20,True,22.05,8,46623849
293,basic,13,0.16666666666666663,1000000,20,False,22.05,2,6941005
294,basic,14,0.16666666666666663,1000000,20,False,22.05,4,11395822
295,basic,15,0.16666666666666663,1000000,20,False,22.05,6,63512502
296,basic,16,0.16666666666666663,1000000,20,False,22.05,8,88275638
297,basic,17,0.3233333333333333,1000000,20,True,22.05,2,29382194
298,basic,18,0.3233333333333333,1000000,20,True,22.05,4,43258632
299,basic,19,0.3233333333333333,1000000,20,True,22.05,6,92027147
300,basic,20,0.3233333333333333,1000000,20,True,22.05,8,56969111
301,basic,21,0.3233333333333333,1000000,20,False,22.05,2,52640469
302,basic,22,0.3233333333333333,1000000,20,False,22.05,4,69191260
303,basic,23,0.3233333333333333,1000000,20,False,22.05,6,88212762
304,basic,24,0.3233333333333333,1000000,20,False,22.05,8,26280150
305,basic,25,0.48,1000000,20,True,22.05,2,59600703
306,basic,26,0.48,1000000,20,True,22.05,4,71759075
307,basic,27,0.48,1000000,20,True,22.05,6,22185888
308,basic,28,0.48,1000000,20,True,22.05,8,54433874
309,basic,29,0.48,1000000,20,False,22.05,2,78811855
310,basic,30,0.48,1000000,20,False,22.05,4,59766782
311,basic,31,0.48,1000000,20,False,22.05,6,87178805
312,basic,32,0.48,1000000,20,False,22.05,8,45350260
313,basic,33,0.6366666666666666,1000000,20,True,22.05,2,50470986
314,basic,34,0.6366666666666666,1000000,20,True,22.05,4,86163659
315,basic,35,0.6366666666666666,1000000,20,True,22.05,6,14002374
316,basic,36,0.6366666666666666,1000000,20,True,22.05,8,33824062
317,basic,37,0.6366666666666666,1000000,20,False,22.05,2,46630429
318,basic,38,0.6366666666666666,1000000,20,False,22.05,4,28920641
319,basic,39,0.6366666666666666,1000000,20,False,22.05,6,52405887
320,basic,40,0.6366666666666666,1000000,20,False,22.05,8,25921231
321,basic,41,0.7933333333333333,1000000,20,True,22.05,2,7189300
322,basic,42,0.7933333333333333,1000000,20,True,22.05,4,52360551
323,basic,43,0.7933333333333333,1000000,20,True,22.05,6,92065805
324,basic,44,0.7933333333333333,1000000,20,True,22.05,8,93273337
325,basic,45,0.7933333333333333,1000000,20,False,22.05,2,90686997
326,basic,46,0.7933333333333333,1000000,20,False,22.05,4,94711937
327,basic,47,0.7933333333333333,1000000,20,False,22.05,6,44009837
328,basic,48,0.7933333333333333,1000000,20,False,22.05,8,88680143
329,basic,49,0.95,1000000,20,True,22.05,2,42803195
330,basic,50,0.95,1000000,20,True,22.05,4,59783690
331,basic,51,0.95,1000000,20,True,22.05,6,2577589
332,basic,52,0.95,1000000,20,True,22.05,8,85661518
333,basic,53,0.95,1000000,20,False,22.05,2,15174154
334,basic,54,0.95,1000000,20,False,22.05,4,66575769
335,basic,55,0.95,1000000,20,False,22.05,6,60122097
336,basic,56,0.95,1000000,20,False,22.05,8,79439531
337,basic,1,0.01,1000000,20,True,22.05,2,56501173
338,basic,2,0.01,1000000,20,True,22.05,4,22604835
339,basic,3,0.01,1000000,20,True,22.05,6,64058626
340,basic,4,0.01,1000000,20,True,22.05,8,68891780
341,basic,5,0.01,1000000,20,False,22.05,2,32582464
342,basic,6,0.01,1000000,20,False,22.05,4,83675546
343,basic,7,0.01,1000000,20,False,22.05,6,35445326
344,basic,8,0.01,1000000,20,False,22.05,8,75262130
345,basic,9,0.16666666666666663,1000000,20,True,22.05,2,42858975
346,basic,10,0.16666666666666663,1000000,20,True,22.05,4,55117516
347,basic,11,0.16666666666666663,1000000,20,True,22.05,6,94316738
348,basic,12,0.16666666666666663,1000000,20,True,22.05,8,29512733
349,basic,13,0.16666666666666663,1000000,20,False,22.05,2,93067337
350,basic,14,0.16666666666666663,1000000,20,False,22.05,4,57133202
